"Title: Population Distribution by Race/Ethnicity | The Henry J. Kaiser Family Foundation"
"Timeframe: 2017"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Two Or More Races","Total",Footnotes
"United States","0.61","0.12","0.18","0.01","0.06","<.01","0.03","1.00","1"
"Alabama","0.66","0.27","0.04","<.01","0.01","N/A","0.02","1.00"
"Alaska","0.61","0.03","0.07","0.13","0.07","0.01","0.09","1.00"
"Arizona","0.55","0.04","0.31","0.04","0.03","<.01","0.03","1.00"
"Arkansas","0.73","0.15","0.08","0.01","0.02","<.01","0.03","1.00"
"California","0.37","0.05","0.39","<.01","0.14","<.01","0.03","1.00"
"Colorado","0.68","0.04","0.22","0.01","0.03","<.01","0.03","1.00"
"Connecticut","0.67","0.10","0.16","<.01","0.05","N/A","0.03","1.00"
"Delaware","0.63","0.21","0.09","N/A","0.04","N/A","0.03","1.00"
"District of Columbia","0.36","0.46","0.11","<.01","0.04","N/A","0.03","1.00"
"Florida","0.54","0.15","0.26","<.01","0.03","<.01","0.02","1.00"
"Georgia","0.53","0.31","0.10","<.01","0.04","N/A","0.02","1.00"
"Hawaii","0.21","0.01","0.10","<.01","0.38","0.10","0.20","1.00"
"Idaho","0.82","0.01","0.12","0.01","0.01","N/A","0.03","1.00"
"Illinois","0.61","0.14","0.17","<.01","0.05","N/A","0.02","1.00"
"Indiana","0.79","0.09","0.07","<.01","0.02","N/A","0.02","1.00"
"Iowa","0.86","0.03","0.06","<.01","0.03","N/A","0.02","1.00"
"Kansas","0.76","0.05","0.12","0.01","0.03","N/A","0.03","1.00"
"Kentucky","0.85","0.08","0.03","<.01","0.01","N/A","0.02","1.00"
"Louisiana","0.59","0.32","0.05","0.01","0.02","N/A","0.02","1.00"
"Maine","0.94","0.01","0.02","0.01","0.01","N/A","0.02","1.00"
"Maryland","0.51","0.29","0.10","<.01","0.07","0.00","0.03","1.00"
"Massachusetts","0.72","0.07","0.12","<.01","0.06","N/A","0.03","1.00"
"Michigan","0.75","0.14","0.05","<.01","0.03","N/A","0.03","1.00"
"Minnesota","0.80","0.06","0.05","0.01","0.05","N/A","0.03","1.00"
"Mississippi","0.57","0.38","0.03","<.01","0.01","N/A","0.01","1.00"
"Missouri","0.80","0.11","0.04","<.01","0.02","<.01","0.03","1.00"
"Montana","0.87","<.01","0.04","0.06","0.01","N/A","0.03","1.00"
"Nebraska","0.79","0.04","0.11","0.01","0.03","N/A","0.02","1.00"
"Nevada","0.49","0.09","0.29","0.01","0.08","0.01","0.04","1.00"
"New Hampshire","0.91","0.01","0.04","<.01","0.03","N/A","0.02","1.00"
"New Jersey","0.55","0.13","0.21","<.01","0.10","N/A","0.02","1.00"
"New Mexico","0.37","0.02","0.49","0.09","0.01","N/A","0.02","1.00"
"New York","0.55","0.14","0.19","<.01","0.09","0.00","0.03","1.00"
"North Carolina","0.63","0.21","0.09","0.01","0.03","<.01","0.03","1.00"
"North Dakota","0.85","0.03","0.03","0.06","0.02","N/A","0.02","1.00"
"Ohio","0.79","0.12","0.04","<.01","0.02","0.00","0.03","1.00"
"Oklahoma","0.66","0.07","0.11","0.07","0.02","<.01","0.07","1.00"
"Oregon","0.76","0.02","0.13","0.01","0.05","<.01","0.04","1.00"
"Pennsylvania","0.77","0.11","0.07","<.01","0.03","N/A","0.02","1.00"
"Rhode Island","0.72","0.05","0.16","<.01","0.04","N/A","0.03","1.00"
"South Carolina","0.64","0.27","0.06","<.01","0.02","N/A","0.02","1.00"
"South Dakota","0.83","0.02","0.04","0.08","0.01","N/A","0.02","1.00"
"Tennessee","0.74","0.16","0.05","<.01","0.02","N/A","0.02","1.00"
"Texas","0.42","0.12","0.40","<.01","0.05","<.01","0.02","1.00"
"Utah","0.79","0.01","0.14","0.01","0.02","0.01","0.02","1.00"
"Vermont","0.93","0.01","0.02","N/A","0.02","N/A","0.02","1.00"
"Virginia","0.62","0.19","0.09","<.01","0.07","0.00","0.03","1.00"
"Washington","0.69","0.03","0.13","0.01","0.09","0.01","0.05","1.00"
"West Virginia","0.93","0.04","0.01","<.01","0.01","N/A","0.02","1.00"
"Wisconsin","0.82","0.06","0.07","0.01","0.03","N/A","0.02","1.00"
"Wyoming","0.84","0.01","0.10","0.02","0.01","N/A","0.02","1.00"
"Puerto Rico","0.01","N/A","0.99","N/A","N/A","N/A","N/A","1.00"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
